company_name,cik,accession_number,filing_date,form_type
TEAM INC,0000318833,0000318833-26-000053,2026-08-10,8-K
East West Ave Acquisition Corp.,0002100704,0001493152-26-036924,2026-08-10,8-K
"Phillips Edison & Company, Inc.",0001476204,0001476204-26-000042,2026-08-10,8-K
UGI CORP /PA/,0000884614,0001104659-26-093478,2026-08-10,8-K
Consolidated Water Co. Ltd.,0000928340,0001104659-26-093477,2026-08-10,8-K
"Tenon Medical, Inc.",0001560293,0001213900-26-087352,2026-08-10,8-K
i-80 Gold Corp.,0001853962,0001628280-26-055373,2026-08-10,8-K
Northann Corp.,0001923780,0001575872-26-000562,2026-08-10,8-K
Sable Offshore Corp.,0001831481,0001831481-26-000105,2026-08-10,8-K
"MPT Operating Partnership, L.P.",0001524607,0001193125-26-342713,2026-08-10,8-K
MEDICAL PROPERTIES TRUST INC,0001287865,0001193125-26-342713,2026-08-10,8-K
Netcapital Inc.,0001414767,0001493152-26-036916,2026-08-10,8-K
VEEA INC.,0001840317,0001213900-26-087343,2026-08-10,8-K
"Cogent Biosciences, Inc.",0001622229,0001193125-26-342695,2026-08-10,8-K
"WhiteHorse Finance, Inc.",0001552198,0001104659-26-093467,2026-08-10,8-K
COLLECTIVE ACQUISITION CORP.,0002041047,0001213900-26-087341,2026-08-10,8-K
"Hadron Energy, Inc.",0002023730,0001193125-26-342682,2026-08-10,8-K
"SONIDA SENIOR LIVING, INC.",0001043000,0001193125-26-342676,2026-08-10,8-K
"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,0001829126-26-008543,2026-08-10,8-K
"Erasca, Inc.",0001761918,0001193125-26-342669,2026-08-10,8-K
BRT Apartments Corp.,0000014846,0000014846-26-000038,2026-08-10,8-K
Jazz Pharmaceuticals plc,0001232524,0001193125-26-342667,2026-08-10,8-K
Pangaea Logistics Solutions Ltd.,0001606909,0001628280-26-055346,2026-08-10,8-K
"GEN Restaurant Group, Inc.",0001891856,0001193125-26-342660,2026-08-10,8-K
"Crexendo, Inc.",0001075736,0001654954-26-007432,2026-08-10,8-K
"Mistras Group, Inc.",0001436126,0001628280-26-055344,2026-08-10,8-K
Diversified Energy Co,0001922446,0001922446-26-000073,2026-08-10,8-K
XAI Floating Rate & Alternative Income Trust,0001703079,0001213900-26-087333,2026-08-10,8-K
ELITE PHARMACEUTICALS INC /NV/,0001053369,0001493152-26-036905,2026-08-10,8-K
UR-ENERGY INC,0001375205,0001104659-26-093457,2026-08-10,8-K
"GCT Semiconductor Holding, Inc.",0001851961,0000929638-26-002965,2026-08-10,8-K
"PENSKE AUTOMOTIVE GROUP, INC.",0001019849,0001628280-26-055334,2026-08-10,8-K
GigaCloud Technology Inc,0001857816,0001857816-26-000077,2026-08-10,8-K
"VisionWave Holdings, Inc.",0002038439,0001731122-26-001032,2026-08-10,8-K
HALLADOR ENERGY CO,0000788965,0001104659-26-093446,2026-08-10,8-K
"Tilray Brands, Inc.",0001731348,0001140361-26-032052,2026-08-10,8-K
Lexaria Bioscience Corp.,0001348362,0001640334-26-001302,2026-08-10,8-K
"FiscalNote Holdings, Inc.",0001823466,0001193125-26-342623,2026-08-10,8-K
Flowco Holdings Inc.,0002035149,0001193125-26-342622,2026-08-10,8-K
"Broadstone Net Lease, Inc.",0001424182,0001193125-26-342612,2026-08-10,8-K
"HELIOS TECHNOLOGIES, INC.",0001024795,0001193125-26-342609,2026-08-10,8-K
"Bain Capital Specialty Finance, Inc.",0001655050,0001193125-26-342607,2026-08-10,8-K
"Purple Innovation, Inc.",0001643953,0001213900-26-087318,2026-08-10,8-K
"Commercial Vehicle Group, Inc.",0001290900,0001628280-26-055322,2026-08-10,8-K
"Arq, Inc.",0001515156,0001515156-26-000116,2026-08-10,8-K
Archer-Daniels-Midland Co,0000007084,0001193125-26-342579,2026-08-10,8-K
